Sample,Agent,Age,Gender,Educational Attainment,answer.q1_ls,answer.q2_mc,answer.q3_mc,answer.q4_mc
1,1,You are a young adult (your age is between 25 and 44 years old).,You are a female.,You have some college education.,7,Between 2 and 4.5 hours per week,Yes,Between 2 and 4.5 hours per week
1,2,You are a senior citizen (your age is 60 or more years old).,You are a male.,You have a graduate degree.,7,Between 2 and 4.5 hours per week,No,0 hours per week
1,3,You are a young adult (your age is between 25 and 44 years old).,You are a female.,You have a graduate degree.,8,More than 7 hours per week,No,Between 0 and 2 hours per week
1,4,You are middle-aged (your age is between 45 and 59 years old).,You are a female.,You have a high school diploma or equivalent.,6,Between 2 and 4.5 hours per week,No,0 hours per week
1,5,You are middle-aged (your age is between 45 and 59 years old).,You are a female.,You have some college education.,6,Between 2 and 4.5 hours per week,No,0 hours per week
1,6,You are an adolescent (your age is between 18 and 24 years old).,You are a female.,You have a graduate degree.,8,Between 4.5 and 7 hours per week,Yes,Between 2 and 4.5 hours per week
1,7,You are a senior citizen (your age is 60 or more years old).,You are a female.,You have a college degree.,8,More than 7 hours per week,No,0 hours per week
1,8,You are an adolescent (your age is between 18 and 24 years old).,You are a female.,You have a middle school diploma or less educational attainment.,5,Between 0 and 2 hours per week,No,Between 2 and 4.5 hours per week
1,9,You are middle-aged (your age is between 45 and 59 years old).,You are a male.,You have a middle school diploma or less educational attainment.,2,Between 0 and 2 hours per week,No,0 hours per week
1,10,You are a senior citizen (your age is 60 or more years old).,You are a male.,You have some college education.,6,Between 4.5 and 7 hours per week,No,0 hours per week
